                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.66333,                0.50651,                 1.0519,                 0.4951,                0.00563,                0.08476,                0.07952,                    nan,                    nan,                    nan,               0.006172,               0.006172,               0.006172
                    118,                0.65567,                0.50692,                 1.0516,                0.41202,                0.00563,                0.07772,                0.07466,                    nan,                    nan,                    nan,               0.006139,               0.006139,               0.006139
                    119,                0.66371,                0.50506,                 1.0533,                0.66184,                0.00563,                0.06869,                0.06536,                    nan,                    nan,                    nan,               0.006106,               0.006106,               0.006106
                    120,                0.66092,                0.49649,                 1.0432,                0.49666,                0.00563,                 0.1001,                0.09246,                    nan,                    nan,                    nan,               0.006073,               0.006073,               0.006073
                    121,                0.64813,                0.49132,                 1.0397,                0.41185,                0.00563,                0.07342,                 0.0703,                    nan,                    nan,                    nan,                0.00604,                0.00604,                0.00604
                    122,                0.64736,                0.49292,                 1.0422,                0.41063,                0.00563,                0.08375,                0.07898,                    nan,                    nan,                    nan,               0.006007,               0.006007,               0.006007
                    123,                0.65255,                0.48538,                 1.0366,                0.66194,                0.00563,                0.10699,                 0.0993,                    nan,                    nan,                    nan,               0.005974,               0.005974,               0.005974
                    124,                0.64054,                0.48552,                 1.0367,                0.40473,                0.00563,                0.05969,                0.05646,                    nan,                    nan,                    nan,               0.005941,               0.005941,               0.005941
                    125,                 0.6496,                 0.4818,                 1.0348,                0.66372,                0.00563,                0.10399,                0.09422,                    nan,                    nan,                    nan,               0.005908,               0.005908,               0.005908
                    126,                0.64306,                0.48405,                 1.0348,                 0.5743,                0.00563,                0.08154,                0.07607,                    nan,                    nan,                    nan,               0.005875,               0.005875,               0.005875
                    127,                0.64735,                0.48696,                 1.0361,                0.41018,                0.00563,                  0.088,                0.08254,                    nan,                    nan,                    nan,               0.005842,               0.005842,               0.005842
                    128,                 0.6415,                0.48175,                 1.0352,                0.57032,                0.00563,                0.05647,                0.05216,                    nan,                    nan,                    nan,               0.005809,               0.005809,               0.005809
                    129,                0.64325,                0.47725,                 1.0377,                0.57618,                0.00563,                0.07796,                0.06877,                    nan,                    nan,                    nan,               0.005776,               0.005776,               0.005776
                    130,                0.64004,                 0.4745,                 1.0336,                0.41155,                0.00563,                0.09353,                0.08783,                    nan,                    nan,                    nan,               0.005743,               0.005743,               0.005743
